n_snp,var_cos,cache_pool_cos,ref_pool_cos,cache_relerr,ref_relerr
1,0.9999998807907104,0.9999983906745911,0.9999982714653015,0.0018093012040480971,0.0018456059042364359
1,1.0,0.9999987483024597,0.9999986290931702,0.0021316944621503353,0.002206582808867097
1,1.0,0.9999983310699463,0.9999983310699463,0.0018991517135873437,0.0019310633651912212
1,1.0,0.9999997615814209,0.9999995827674866,0.000563509704079479,0.0009497822029516101
1,1.0,0.9999984502792358,0.9999983310699463,0.001778238220140338,0.0018109711818397045
1,1.0,0.9999927282333374,0.999992847442627,0.005812590476125479,0.005886248778551817
2,0.9999784827232361,0.9999984502792358,0.9999979734420776,0.002112089656293392,0.002370858332142234
1,0.9999999403953552,0.9999974370002747,0.9999971389770508,0.0023685770574957132,0.0025235870853066444
1,0.9999999403953552,0.9999973177909851,0.9999966025352478,0.0023889297153800726,0.0026928004808723927
1,1.0,0.9999984502792358,0.9999983310699463,0.002000483451411128,0.0020092802587896585
1,0.9999998807907104,0.9999991655349731,0.999998927116394,0.0015196693129837513,0.001730194897390902
2,0.9999662041664124,0.9999955892562866,0.999994158744812,0.0032309931702911854,0.0036069562193006277
1,1.0000001192092896,0.9999967217445374,0.9999954700469971,0.0025528280530124903,0.0030121062882244587
2,0.9999970197677612,0.9999977350234985,0.9999975562095642,0.002145031001418829,0.0022205775603652
1,1.0,0.999997079372406,0.9999964833259583,0.00316608720459044,0.0034249809104949236
1,0.9999998807907104,0.9999979734420776,0.9999977350234985,0.002086143009364605,0.0022236539516597986
1,1.0,0.9999916553497314,0.9999920129776001,0.005457472521811724,0.0050540491938591
1,1.0,0.9999999403953552,0.9999999403953552,0.00048588329809717834,0.0005973299848847091
1,1.0,0.999995231628418,0.9999943375587463,0.0030874996446073055,0.0033750743605196476
2,0.9999969601631165,0.9999994039535522,0.9999988675117493,0.001239019795320928,0.001455784193240106
3,0.9999909400939941,0.9999931454658508,0.9999914765357971,0.003703819354996085,0.004153071902692318
1,0.9999998807907104,0.9999986886978149,0.9999985694885254,0.001566777820698917,0.0017021215753629804
1,1.0,0.9998729228973389,0.9998705387115479,0.016691306605935097,0.016659466549754143
1,1.0000001192092896,0.9999995827674866,0.9999991655349731,0.0010848992969840765,0.0013196385698392987
1,1.0,0.9999998211860657,0.9999996423721313,0.0008413682808168232,0.0008768633706495166
1,1.0,0.9999994039535522,0.9999994039535522,0.0015665787504985929,0.0013241312699392438
1,0.9999998807907104,0.9999973773956299,0.9999973177909851,0.0024851257912814617,0.0025290013290941715
1,1.0000001192092896,0.9999988675117493,0.9999986290931702,0.0016301037976518273,0.0016743669984862208
1,0.9999998211860657,0.9999955892562866,0.9999948740005493,0.002978656440973282,0.0031865849159657955
1,1.0,0.9999996423721313,0.9999996423721313,0.000882188614923507,0.0009439194691367447
1,0.9999999403953552,0.9999959468841553,0.9999957084655762,0.00345826568081975,0.003495837328955531
1,1.0,0.9999955892562866,0.9999954104423523,0.0030746476259082556,0.0032051135785877705
1,1.000000238418579,0.9999982714653015,0.9999978542327881,0.0019250892801210284,0.002165343379601836
1,0.9999999403953552,0.9999927282333374,0.9999920725822449,0.0038792432751506567,0.004024507477879524
1,1.0000001192092896,0.9999990463256836,0.9999988079071045,0.0015431155916303396,0.0017317505553364754
1,0.9999999403953552,0.9999996423721313,0.9999995231628418,0.0009191917488351464,0.001095909858122468
1,1.0,0.9999973177909851,0.9999972581863403,0.002348503563553095,0.002431809203699231
1,0.9999999403953552,0.9995841979980469,0.999587893486023,0.03185473009943962,0.031653180718421936
1,0.9999998807907104,0.9999980926513672,0.9999979138374329,0.0019871587865054607,0.002059091115370393
1,1.0,0.9999988079071045,0.9999985098838806,0.0015667311381548643,0.0016700855921953917
1,1.0,0.9999986886978149,0.9999986290931702,0.001982311485335231,0.00208856537938118
1,0.9999999403953552,0.9999991655349731,0.9999988675117493,0.0015201139030978084,0.0015494710532948375
1,0.9999997615814209,0.9999967217445374,0.9999964833259583,0.002633156254887581,0.002691377652809024
